LinkedIn - ID,LinkedIn - Name,LinkedIn - Industry,LinkedIn - Specialties,LinkedIn - Website,LinkedIn - Headquarters,LinkedIn - Type,LinkedIn - Founded,LinkedIn - Company Size,LinkedIn - Followers,LinkedIn - Description,LinkedIn - URL,LinkedIn - Path
10,GPD Bathroom & Kitchen Faucets,Consumer Goods,,http://www.gpd.com.tr,"Bakır Pirinç San.Sitesi, Sardunya Cad. No:7 İstanbul, Beylikdüzü 34524 Turkey",Privately Held,1978,201-500 employees,262,"Since 1962 being in the life of manufacturing Gul Pres Dokum Sanayi AS. with the brand name  known as GPD has been established in the year 1978 has a deep rooted and significant place  throughout the Turkish market for the production of various bathroom and kitchen  armatures,taps and water,gas,radiator valves and unions produced with brass raw materials  with hot pressing and die casting.    GPD manufactures all products in it’s own building located in Istanbul-Beylikduzu, on an area of  12.000m2 which has a closed area of 3.000m2 and also has a contact and sales office in the  same area location, Beylikdüzü. Apart from this it has another company named Polatlar  Otomat San. A.Ş within the factory manufacturing automat materials.    All the production and management staff works are performed with a team spirit and develops  its technological investments, production capacity and quality performance each and every  day according to a company that always aims for the future with strong and secure steps.  Hence thus ; it develops its products by designing brand new models in the direction of clients  demands with the paralel of the new generation. Our company that owns the certificate of TS  ISO 9001:2008 that is under the confirmation of TUV, continues the production in paralel of  Quality Guarantee System conditions.    The primary goals of our team are Total Quality, Customer Satisfaction and Modern  Enterprising.",https://www.linkedin.com/company/gpd-banyo-ve-mutfak-armat-rleri,/home/deploy/webworker/server/data/T809_E113450_6540803400473650963/1
11,Unipool Swimmingpools Fitness GmbH,,,http://unipool.de,"16 Rudolf-Diesel-Straße Bargteheide, 22941 Germany",,,,3,"Unipool Swimmingpools Fitness GmbH is a company based out of 16 Rudolf-Diesel-Straße,  Bargteheide, Germany.",https://www.linkedin.com/company/unipool-swimmingpools-fitness-gmbh,/home/deploy/webworker/server/data/W17_T80503_E189570_6327915169414343399/1
12,FunderMax GmbH,Building Materials,,http://www.fundermax.com,"Klagenfurter Str. 87-89 St. Veit/Glan, Carinthia 9300 Austria",Privately Held,1890,1001-5000 employees,435,"Ideas.Work.Materials    FunderMax – “For people who create”    Whether it is a matter of furniture, facades or interior fittings, FunderMax is always to be found  at the interface between ideas and materials. We understand architects, processors and the  furniture industry – as well as the genuine decision-makers: your customers.     What we do:     We think about the issues, we develop the products and we create them. Our strength lies in  well thought out wood-based materials and compact laminates. We see ourselves as a  production facility, a service partner and a design laboratory. Only because we are highly  competent in all three fields can we make top-class performance a matter of course.     What we are proud of:     We stand for sustainability, wherever you look: creative brains who are already making an  active mark today on the design and product trends of the future; materials created from  sustainable resources; and energy that is sustainably produced and supplies “green”  electricity and district heating far beyond our own requirements.     Where we are:    Basically all over the world – because ideas and products made by FunderMax are as familiar in  the residential buildings of France as in the laboratories of Asia and the furniture of Italy. Our  home locations are in Austria where more than 1,000 people work with commitment and  passion on the quality of our solutions and materials.",https://www.linkedin.com/company/6021344,/home/deploy/webworker/server/data/W17_T80400_E189467_3024803671397446677/1
13,Forge Architects & Surveyors Ltd,Architecture & Planning,,http://www.forgearchitects.co. uk,"6-8 Cole Street London, SE1 4YH United Kingdom",Privately Held,1993,1-10 employees,165,"Forge Architects was formed in 1993 by architect Tim Wood. We are a London based practice  with a wide range of experience in the planning and procurement of a variety of building types  including residential, community, and commercial projects throughout the UK. Our areas of  expertise include:    • Project brief development  • Stakeholder consultation  • Site appraisal & feasibility studies  • Difficult urban sites  • Planning strategies  • Construction packages  • Property asset maximisation    We are committed to understanding our clients needs, and pride ourselves on our track record  for delivering high quality, innovative solutions. Our common sense and practical approach has  led to repeat work from clients who recognise the added value that we bring to a project. We  work on a variety of size and type of projects from £100K to £10M. In all cases we provide a  proactive, friendly and professional service, tailored to suit the requirements of each client.",https://www.linkedin.com/company/forge-architects-&-surveyors-ltd,/home/deploy/webworker/server/data/W1_T3962_E169213_4081049930311327361/1
14,Pointex,,,http://pointex.com,France,,,,10,Pointex is a company based out of France.,https://www.linkedin.com/company/pointex,/home/deploy/webworker/server/data/W17_T80383_E189450_8610583817623982580/1
15,Rheinzink America Inc,Computer Software,,http://www.rheinzink.us/,"955 Massachusetts Ave # 770 Cambridge, Massachusetts 02139-3233 United States",,,1-10 employees,6,"Rheinzink America Inc is a Computer Software company located in 955 Massachusetts Ave #  770, Cambridge, Massachusetts, United States.",https://www.linkedin.com/company/rheinzink-america-inc,/home/deploy/webworker/server/data/W17_T80484_E189551_8414893039374076032/1
16,Vrije Universiteit Amsterdam / VU,Research,,http://www.vu.nl,"Boelelaan 1105 Amsterdam, Noord-Holland 1081HV Netherlands",Educational,1880,1001-5000 employees,951,"De Vrije Universiteit Amsterdam (VU) is van mening dat kennis pas waarde krijgt als je die  deelt. Als brede researchuniversiteit claimt de VU daarom bewust een positie middenin de  samenleving. Vanuit actuele maatschappelijke vraagstukken legt de VU de basis voor morgen.  Het  onderzoek is internationaal toonaangevend en het onderwijs van hoge kwaliteit. De VU  beschikt over een eigentijdse campus en streeft naar een samenstelling van studenten en  medewerkers die even divers is als de samenleving. Als u wilt bijdragen aan de wereld van  morgen, én u zoekt de beste omgeving voor uw eigen ontwikkeling, dan hoort u thuis op de  Vrije Universiteit.    De Vrije Universiteit is een bijzondere universiteit. Vijf studenten en vijf hoogleraren telde de  VU toen zij in 1880 haar deuren opende. Nu studeren er ruim 24.000 studenten en telt de VU  4.500 medewerkers. Sinds 1880 heeft de VU zich ontwikkeld van een bescheiden initiatief aan  de Keizersgracht tot een gezichtsbepalende instelling in een belangrijke economische regio  van Nederland, de Zuidas.    De VU heeft grote ambities op het gebied van onderwijs en onderzoek.   De VU biedt aantrekkelijke mogelijkheden voor ambitieuze en talentvolle mensen, die graag  een bijdrage willen leveren aan het realiseren van haar ambities. Deze mogelijkheden biedt de  VU aan wetenschappelijk onderzoekers, promovendi en docenten, maar ook aan  ondersteunend personeel, zoals beleidsmedewerkers, financieel controllers en specialisten in  ICT, HRM en communicatie.",https://www.linkedin.com/company/vrije-universiteit-amsterdam,/home/deploy/webworker/server/data/T629_E113270_840978347267021194/1
17,Effepi Italia s.r.l.,Information Technology and Services,,http://www.hairsoft.it,,Public Company,,1-10 employees,5,"Effepi Italia S.r.l. produce e distribuisce Hairsoft Salon Management System.    Hairsoft Salon Management System minimizza i tempi morti in salone, genera le informazioni  necessarie per una gestione moderna ed efficace del salone e gestisce senza sforzo le  informazioni base del marketing. La serenità di lavorare con qualcuno che lavora per te è  Hairsoft Salon Management System..",https://www.linkedin.com/company/3194241,/home/deploy/webworker/server/data/W17_T81237_E190304_3404263148121306713/1
18,Passivhaus Institut,,,http://phi-ibk.at,Austria,,,,14,Passivhaus Institut is a company based out of Austria.,https://www.linkedin.com/company/passivhaus-institut,/home/deploy/webworker/server/data/W17_T80516_E189583_2839731745427412036/1
19,Ruchser GmbH Maschinen- Und Gerätebau,,,http://ruchser.com,"49 Bahnhofstraße Brackenheim, 74336 Germany",,,,0,"Ruchser GmbH Maschinen- Und Gerätebau is a company based out of 49 Bahnhofstraße,  Brackenheim, Germany.",https://www.linkedin.com/company/ruchser-gmbh-maschinen--und-ger%c3%a4tebau,/home/deploy/webworker/server/data/W17_T80832_E189899_4871305773894518920/1
